i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
64,11.0,0.188673,0.463181,0.623205,1.798158,0.676192,AUT,0.0,0.046146,0.070207,0.006638,proton,pi+,solid
65,11.0,0.102315,0.680001,0.624579,1.397308,0.951894,AUT,0.0,0.006147,0.070207,0.007103,proton,pi+,solid
66,11.0,0.113216,0.553503,0.673600,1.277940,0.259004,AUT,0.0,0.006624,0.070207,0.007023,proton,pi+,solid
67,11.0,0.168935,0.463093,0.673769,1.603371,0.236776,AUT,0.0,0.007028,0.070207,0.006711,proton,pi+,solid
68,11.0,0.228502,0.390346,0.671520,1.838392,0.217763,AUT,0.0,0.019235,0.070207,0.006447,proton,pi+,solid
69,11.0,0.110763,0.599866,0.673922,1.349341,0.498850,AUT,0.0,0.007609,0.070207,0.007034,proton,pi+,solid
70,11.0,0.174095,0.481913,0.673281,1.719179,0.485497,AUT,0.0,0.015254,0.070207,0.006682,proton,pi+,solid
71,11.0,0.097406,0.666665,0.674192,1.321540,0.763121,AUT,0.0,0.006395,0.070207,0.007114,proton,pi+,solid
72,11.0,0.152036,0.553981,0.673404,1.727101,0.723594,AUT,0.0,0.016163,0.070207,0.006791,proton,pi+,solid
73,11.0,0.150430,0.752456,0.329472,2.322812,0.421679,AUT,0.0,0.006323,0.070207,0.006932,proton,pi+,solid
74,11.0,0.201916,0.685757,0.340907,2.856770,0.356794,AUT,0.0,0.021048,0.070207,0.006684,proton,pi+,solid
75,11.0,0.147872,0.778268,0.329438,2.356304,0.682510,AUT,0.0,0.017650,0.070207,0.006944,proton,pi+,solid
76,11.0,0.165715,0.663881,0.376618,2.263680,0.269000,AUT,0.0,0.006944,0.070207,0.006836,proton,pi+,solid
77,11.0,0.208835,0.637304,0.379787,2.744433,0.244758,AUT,0.0,0.009568,0.070207,0.006639,proton,pi+,solid
78,11.0,0.163865,0.698364,0.375520,2.342895,0.494265,AUT,0.0,0.005468,0.070207,0.006846,proton,pi+,solid
79,11.0,0.218074,0.632302,0.380949,2.843763,0.485775,AUT,0.0,0.018651,0.070207,0.006601,proton,pi+,solid
80,11.0,0.163841,0.715243,0.376994,2.385440,0.710163,AUT,0.0,0.008572,0.070207,0.006846,proton,pi+,solid
81,11.0,0.169316,0.631577,0.424170,2.199137,0.259881,AUT,0.0,0.007393,0.070207,0.006801,proton,pi+,solid
