i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
81,11.0,0.160528,0.528665,0.476877,1.746029,0.132129,AUT,0.0,0.002420,0.070207,0.001264,neutron,pi+,solid
82,11.0,0.080458,0.676962,0.472518,1.120879,0.331536,AUT,0.0,0.002542,0.070207,0.001117,neutron,pi+,solid
83,11.0,0.094219,0.637324,0.473042,1.239160,0.319101,AUT,0.0,0.002283,0.070207,0.001139,neutron,pi+,solid
84,11.0,0.104559,0.619248,0.473268,1.336248,0.315235,AUT,0.0,0.002241,0.070207,0.001157,neutron,pi+,solid
85,11.0,0.114057,0.603977,0.473575,1.421802,0.311764,AUT,0.0,0.002251,0.070207,0.001174,neutron,pi+,solid
86,11.0,0.123412,0.593257,0.474163,1.511156,0.308401,AUT,0.0,0.002275,0.070207,0.001192,neutron,pi+,solid
87,11.0,0.133516,0.580416,0.474822,1.599351,0.305116,AUT,0.0,0.002320,0.070207,0.001211,neutron,pi+,solid
88,11.0,0.146025,0.561906,0.475205,1.693147,0.301746,AUT,0.0,0.002463,0.070207,0.001236,neutron,pi+,solid
89,11.0,0.165888,0.530188,0.476258,1.813106,0.295257,AUT,0.0,0.002906,0.070207,0.001275,neutron,pi+,solid
90,11.0,0.191811,0.488596,0.482991,1.933688,0.288814,AUT,0.0,0.018551,0.070207,0.001329,neutron,pi+,solid
91,11.0,0.068627,0.773378,0.473035,1.092532,0.509316,AUT,0.0,0.002147,0.070207,0.001098,neutron,pi+,solid
92,11.0,0.079633,0.707136,0.473565,1.161717,0.501468,AUT,0.0,0.002130,0.070207,0.001116,neutron,pi+,solid
93,11.0,0.087714,0.678659,0.473795,1.228553,0.497809,AUT,0.0,0.002183,0.070207,0.001129,neutron,pi+,solid
94,11.0,0.095421,0.664127,0.473886,1.307943,0.495095,AUT,0.0,0.002277,0.070207,0.001142,neutron,pi+,solid
95,11.0,0.103487,0.651083,0.474042,1.390642,0.493090,AUT,0.0,0.002342,0.070207,0.001156,neutron,pi+,solid
96,11.0,0.112280,0.637825,0.474115,1.478079,0.492191,AUT,0.0,0.002530,0.070207,0.001171,neutron,pi+,solid
97,11.0,0.121864,0.625234,0.474451,1.572573,0.490949,AUT,0.0,0.002747,0.070207,0.001189,neutron,pi+,solid
98,11.0,0.133429,0.605088,0.474926,1.665817,0.489211,AUT,0.0,0.003147,0.070207,0.001211,neutron,pi+,solid
99,11.0,0.152800,0.559787,0.475868,1.762263,0.486998,AUT,0.0,0.005967,0.070207,0.001249,neutron,pi+,solid
100,11.0,0.182083,0.504150,0.479471,1.893002,0.488538,AUT,0.0,0.031856,0.070207,0.001309,neutron,pi+,solid
101,11.0,0.067891,0.785531,0.473843,1.097527,0.692951,AUT,0.0,0.002180,0.070207,0.001096,neutron,pi+,solid
102,11.0,0.081296,0.718982,0.474287,1.205647,0.688199,AUT,0.0,0.002409,0.070207,0.001118,neutron,pi+,solid
103,11.0,0.093830,0.687363,0.474466,1.330687,0.686774,AUT,0.0,0.002634,0.070207,0.001139,neutron,pi+,solid
104,11.0,0.109132,0.656577,0.474514,1.478076,0.685317,AUT,0.0,0.002888,0.070207,0.001166,neutron,pi+,solid
105,11.0,0.130755,0.610858,0.475117,1.644848,0.686142,AUT,0.0,0.003458,0.070207,0.001206,neutron,pi+,solid
106,11.0,0.163540,0.534798,0.476952,1.800018,0.687729,AUT,0.0,0.006286,0.070207,0.001271,neutron,pi+,solid
107,11.0,0.077588,0.751665,0.475498,1.193433,0.875030,AUT,0.0,0.002128,0.070207,0.001112,neutron,pi+,solid
108,11.0,0.125132,0.621109,0.476132,1.582540,0.875558,AUT,0.0,0.002524,0.070207,0.001195,neutron,pi+,solid
109,11.0,0.097330,0.713175,0.478040,1.392169,1.068159,AUT,0.0,0.004921,0.070207,0.001146,neutron,pi+,solid
110,11.0,0.127185,0.540008,0.523461,1.411264,0.143165,AUT,0.0,0.002313,0.070207,0.001203,neutron,pi+,solid
111,11.0,0.170955,0.489200,0.525703,1.721755,0.128556,AUT,0.0,0.002496,0.070207,0.001292,neutron,pi+,solid
112,11.0,0.209836,0.445262,0.531288,1.927704,0.125658,AUT,0.0,0.009438,0.070207,0.001374,neutron,pi+,solid
113,11.0,0.086343,0.649551,0.522783,1.154200,0.328468,AUT,0.0,0.002497,0.070207,0.001129,neutron,pi+,solid
114,11.0,0.104319,0.613414,0.523327,1.320276,0.317400,AUT,0.0,0.002274,0.070207,0.001161,neutron,pi+,solid
115,11.0,0.118230,0.591457,0.523535,1.442986,0.312072,AUT,0.0,0.002273,0.070207,0.001187,neutron,pi+,solid
116,11.0,0.131320,0.568769,0.523642,1.541134,0.307130,AUT,0.0,0.002328,0.070207,0.001212,neutron,pi+,solid
117,11.0,0.145054,0.541099,0.524092,1.619474,0.301924,AUT,0.0,0.002517,0.070207,0.001239,neutron,pi+,solid
118,11.0,0.162850,0.511446,0.525005,1.717953,0.296884,AUT,0.0,0.002945,0.070207,0.001276,neutron,pi+,solid
119,11.0,0.189600,0.472532,0.526900,1.845957,0.290928,AUT,0.0,0.007033,0.070207,0.001331,neutron,pi+,solid
120,11.0,0.072538,0.745013,0.523113,1.111397,0.511183,AUT,0.0,0.002175,0.070207,0.001106,neutron,pi+,solid
121,11.0,0.085852,0.678499,0.523580,1.201838,0.501849,AUT,0.0,0.002151,0.070207,0.001129,neutron,pi+,solid
122,11.0,0.096128,0.656647,0.523838,1.302644,0.498448,AUT,0.0,0.002226,0.070207,0.001147,neutron,pi+,solid
123,11.0,0.106584,0.639224,0.524020,1.406049,0.495640,AUT,0.0,0.002319,0.070207,0.001165,neutron,pi+,solid
124,11.0,0.118188,0.622611,0.524130,1.518595,0.493806,AUT,0.0,0.002473,0.070207,0.001187,neutron,pi+,solid
125,11.0,0.131487,0.596124,0.524203,1.617025,0.491790,AUT,0.0,0.002872,0.070207,0.001213,neutron,pi+,solid
126,11.0,0.149841,0.547193,0.524880,1.689811,0.488506,AUT,0.0,0.004486,0.070207,0.001250,neutron,pi+,solid
127,11.0,0.180977,0.485163,0.526500,1.807014,0.489491,AUT,0.0,0.017071,0.070207,0.001313,neutron,pi+,solid
128,11.0,0.070301,0.769369,0.523964,1.112033,0.694707,AUT,0.0,0.002174,0.070207,0.001103,neutron,pi+,solid
129,11.0,0.086238,0.698830,0.524375,1.243115,0.688932,AUT,0.0,0.002449,0.070207,0.001130,neutron,pi+,solid
130,11.0,0.102074,0.668627,0.524626,1.407922,0.687598,AUT,0.0,0.002822,0.070207,0.001158,neutron,pi+,solid
131,11.0,0.122644,0.628268,0.524540,1.587964,0.685844,AUT,0.0,0.003442,0.070207,0.001196,neutron,pi+,solid
132,11.0,0.158948,0.526651,0.525532,1.714134,0.687340,AUT,0.0,0.005484,0.070207,0.001267,neutron,pi+,solid
133,11.0,0.076796,0.751032,0.524906,1.181478,0.882788,AUT,0.0,0.002213,0.070207,0.001114,neutron,pi+,solid
134,11.0,0.118924,0.627149,0.525164,1.523272,0.881931,AUT,0.0,0.002345,0.070207,0.001189,neutron,pi+,solid
135,11.0,0.174155,0.494554,0.526044,1.772295,0.879091,AUT,0.0,0.010173,0.070207,0.001299,neutron,pi+,solid
136,11.0,0.098321,0.701241,0.526706,1.380549,1.086134,AUT,0.0,0.003252,0.070207,0.001151,neutron,pi+,solid
137,11.0,0.137411,0.521546,0.573472,1.469951,0.138265,AUT,0.0,0.002344,0.070207,0.001230,neutron,pi+,solid
