i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
82,11.0,0.088416,0.672966,0.523918,1.217610,0.498656,AUT,0.0,0.007233,0.070207,0.007221,proton,pi+,solid
83,11.0,0.128128,0.577607,0.524365,1.520271,0.492260,AUT,0.0,0.007198,0.070207,0.006992,proton,pi+,solid
84,11.0,0.188654,0.439946,0.524314,1.680033,0.483523,AUT,0.0,0.008245,0.070207,0.006692,proton,pi+,solid
85,11.0,0.095338,0.681900,0.524341,1.321391,0.689761,AUT,0.0,0.005619,0.070207,0.007179,proton,pi+,solid
86,11.0,0.159694,0.506724,0.524263,1.638980,0.685849,AUT,0.0,0.008150,0.070207,0.006827,proton,pi+,solid
87,11.0,0.107941,0.660583,0.525158,1.411869,0.921938,AUT,0.0,0.005877,0.070207,0.007106,proton,pi+,solid
88,11.0,0.136117,0.504194,0.573685,1.392759,0.130458,AUT,0.0,0.006528,0.070207,0.006935,proton,pi+,solid
89,11.0,0.216333,0.390388,0.573905,1.724783,0.129333,AUT,0.0,0.014142,0.070207,0.006552,proton,pi+,solid
90,11.0,0.103640,0.592705,0.573728,1.254212,0.308013,AUT,0.0,0.007657,0.070207,0.007118,proton,pi+,solid
91,11.0,0.150488,0.499885,0.574145,1.544384,0.297923,AUT,0.0,0.007332,0.070207,0.006854,proton,pi+,solid
92,11.0,0.213787,0.389675,0.573873,1.700288,0.292338,AUT,0.0,0.008207,0.070207,0.006563,proton,pi+,solid
93,11.0,0.094345,0.649085,0.574008,1.251236,0.499099,AUT,0.0,0.007429,0.070207,0.007172,proton,pi+,solid
94,11.0,0.148491,0.527247,0.574419,1.592840,0.490121,AUT,0.0,0.007487,0.070207,0.006864,proton,pi+,solid
95,11.0,0.226135,0.381446,0.573651,1.773431,0.475836,AUT,0.0,0.017036,0.070207,0.006510,proton,pi+,solid
96,11.0,0.101193,0.659231,0.574324,1.350292,0.690914,AUT,0.0,0.006253,0.070207,0.007129,proton,pi+,solid
97,11.0,0.168145,0.490184,0.574130,1.683321,0.683555,AUT,0.0,0.015049,0.070207,0.006763,proton,pi+,solid
98,11.0,0.105347,0.669651,0.574702,1.406724,0.938838,AUT,0.0,0.005736,0.070207,0.007104,proton,pi+,solid
99,11.0,0.155980,0.472856,0.623631,1.472938,0.130522,AUT,0.0,0.006777,0.070207,0.006812,proton,pi+,solid
100,11.0,0.277220,0.331801,0.618474,1.897758,0.124580,AUT,0.0,0.072764,0.070207,0.006310,proton,pi+,solid
101,11.0,0.112083,0.570103,0.623753,1.301565,0.307091,AUT,0.0,0.007266,0.070207,0.007050,proton,pi+,solid
102,11.0,0.181164,0.445154,0.623780,1.635749,0.295205,AUT,0.0,0.006923,0.070207,0.006682,proton,pi+,solid
103,11.0,0.101411,0.625897,0.624028,1.294123,0.499461,AUT,0.0,0.007577,0.070207,0.007112,proton,pi+,solid
104,11.0,0.163564,0.496570,0.624022,1.648158,0.487959,AUT,0.0,0.009160,0.070207,0.006764,proton,pi+,solid
105,11.0,0.109006,0.634631,0.624242,1.391120,0.690259,AUT,0.0,0.006859,0.070207,0.007065,proton,pi+,solid
106,11.0,0.187060,0.465715,0.623169,1.792042,0.675208,AUT,0.0,0.044045,0.070207,0.006645,proton,pi+,solid
107,11.0,0.102165,0.681081,0.624516,1.397579,0.950478,AUT,0.0,0.006161,0.070207,0.007104,proton,pi+,solid
108,11.0,0.112786,0.554106,0.673539,1.274577,0.259635,AUT,0.0,0.006740,0.070207,0.007025,proton,pi+,solid
109,11.0,0.166377,0.464305,0.673680,1.584521,0.236578,AUT,0.0,0.006977,0.070207,0.006724,proton,pi+,solid
110,11.0,0.223051,0.393289,0.671284,1.807206,0.218534,AUT,0.0,0.016193,0.070207,0.006469,proton,pi+,solid
111,11.0,0.110893,0.600157,0.673993,1.351548,0.498451,AUT,0.0,0.007563,0.070207,0.007034,proton,pi+,solid
112,11.0,0.174185,0.481307,0.673297,1.717980,0.485152,AUT,0.0,0.015090,0.070207,0.006682,proton,pi+,solid
113,11.0,0.097193,0.666381,0.674164,1.318306,0.763354,AUT,0.0,0.006483,0.070207,0.007116,proton,pi+,solid
114,11.0,0.151307,0.555876,0.673430,1.724756,0.724072,AUT,0.0,0.016035,0.070207,0.006795,proton,pi+,solid
115,11.0,0.182232,0.597348,0.323721,2.236726,0.131019,AUT,0.0,0.009549,0.070207,0.006787,proton,pi+,solid
116,11.0,0.222558,0.524016,0.324127,2.402761,0.127753,AUT,0.0,0.008422,0.070207,0.006618,proton,pi+,solid
117,11.0,0.262808,0.454137,0.324337,2.458330,0.126438,AUT,0.0,0.007442,0.070207,0.006478,proton,pi+,solid
118,11.0,0.321328,0.388466,0.324271,2.568799,0.124790,AUT,0.0,0.006655,0.070207,0.006309,proton,pi+,solid
119,11.0,0.158342,0.672406,0.323361,2.185710,0.308201,AUT,0.0,0.006251,0.070207,0.006898,proton,pi+,solid
120,11.0,0.188404,0.598604,0.323997,2.326143,0.297886,AUT,0.0,0.006048,0.070207,0.006757,proton,pi+,solid
121,11.0,0.212037,0.555879,0.324284,2.431121,0.293025,AUT,0.0,0.005856,0.070207,0.006658,proton,pi+,solid
122,11.0,0.238555,0.501205,0.324258,2.464963,0.287905,AUT,0.0,0.005569,0.070207,0.006559,proton,pi+,solid
123,11.0,0.275585,0.439311,0.324428,2.493828,0.285132,AUT,0.0,0.005458,0.070207,0.006438,proton,pi+,solid
124,11.0,0.330626,0.382027,0.324482,2.602082,0.286313,AUT,0.0,0.006548,0.070207,0.006284,proton,pi+,solid
125,11.0,0.151158,0.719139,0.323840,2.226010,0.491881,AUT,0.0,0.006211,0.070207,0.006932,proton,pi+,solid
