Nu	Nd	a	b	c	kt2	chi2
0.4021861479278128	-0.45055249226680766	1.0011727260807393	2.9892748192522447	0.0032625093065879155	0.25091815235157644	2756.057377296174
0.4029870431576124	-0.4492085748843751	1.0027187442990222	3.0138783950661296	0.00152494597894937	0.25202483829664846	2781.2017755647694
0.39714137776723496	-0.44920795511676886	0.9869852083831075	2.9749121841336095	-0.00690535608182663	0.24865675694034323	2728.6254846593165
0.40037982166652325	-0.4486506975519808	1.002780032348682	3.026441510973342	-0.002381532324476271	0.24813953526901672	2790.5305445843333
0.3991575056954083	-0.45094053295469266	0.9974896367086745	2.994902385383276	0.0008035836279200996	0.2508573650006523	2726.55908961966
0.282084096849392	-0.31452694994398067	0.9565994173033423	3.1126025376361612	0.658056399091805	0.2487988769718416	2771.7915827224915
0.4004122538174266	-0.44845533891582284	0.9943271209497899	2.9848126367799805	-0.0040586214601043965	0.24871731679520412	2744.958470339028
0.399954743719886	-0.4495010084109328	0.9938825173604221	2.9746108733186265	-0.0023215524431749756	0.24826799869566862	2745.8153992428734
0.39745498811872193	-0.45038931161201007	0.9911544238578229	2.9690727166990043	-0.003200418330860257	0.24832755792361128	2700.18313348063
0.39835990435313734	-0.4501355290730072	1.0094407852422107	3.0403531597719837	0.0001297283137342646	0.2519153280462548	2656.888705436427
0.6676939337211327	-0.7421973155895087	1.0956501629948525	2.925774372097335	-0.6170752216236752	0.24857604856152277	2698.794123142404
0.39771985758964895	-0.45004342841726946	1.00905515459822	3.0585303324665145	-0.0008373920064698669	0.24978820351398498	2761.5530111549724
0.4001711743233654	-0.44982634132327576	0.9919396378638539	2.9767546747482547	-0.0014469440423135315	0.24994667706671267	2800.8689418117256
0.40291308687992544	-0.44875547783507463	0.9925348221838175	2.976554156852053	-0.0013198827458644053	0.25051215381316616	2691.353048978177
0.3976230619350675	-0.4495753592445166	0.9982876054376384	3.010016455567288	-0.003625591218950756	0.24990733447003557	2760.503939753261
0.26863836831607424	-0.3033681585524302	0.9369086887630212	3.024385561990223	0.7472965013749896	0.2493194490591283	2711.286128052009
0.4027673551277597	-0.4478081843093804	0.995426573506071	3.0089614062948087	-0.0029866708743543397	0.2476389525612717	2884.300185075702
0.39813910211237646	-0.44994723481452314	1.0009245672706064	3.0119778030844806	-0.0017678596638548232	0.24805867492063594	2807.317233035157
0.39795481530727383	-0.45170526315276216	1.0035100247516013	3.0128636812881364	0.00238433153801649	0.2511932316184344	2809.245522860162
0.39949731162984214	-0.4500978940669991	1.0009246577025732	3.0035532819961865	5.4624241887035125e-05	0.2505365683332463	2665.2062277145606
0.40062371104722433	-0.44846630701222734	1.0002707064545064	3.0116580543628277	-0.0028536332874589585	0.24953399737019147	2800.9672205908223
0.40152523575294774	-0.4493706555010051	1.010485678890156	3.053109907513476	0.0015599624694976274	0.2489620798995329	2742.6512023488194
0.39803395614640663	-0.4510167098137004	1.0067183878678208	3.011065772620727	0.0016164993269427593	0.25075552658617223	2695.8498303231777
0.3992629247666378	-0.4522132594385336	1.0206916921307299	3.053185822527199	0.008010093913143187	0.25179018956107974	2731.4969748273174
0.7085423297784385	-0.794913159586684	1.1013346351153037	2.8394428951743036	-0.6718841566068536	0.24926261776887762	2660.9342627567066
0.39909330551591343	-0.44916256224134704	1.0037873837186564	3.0330028566443734	-0.002173997884651428	0.24921543457441575	2664.694684366633
0.3990387933767811	-0.451830840655296	0.9959973421888323	2.9704534352065233	0.0025778614534915493	0.2509418969626754	2721.0944374054066
0.3998907805202022	-0.4499536974123639	0.9986847578258554	2.9783179106412954	-0.0003714702197577139	0.24844647177274182	2732.3254401083914
0.2706515392243139	-0.30355713428554976	0.9493022833067815	3.031934804643393	0.7628458669971279	0.24914496003738054	2740.2633240580126
0.40152151934460856	-0.4496973265962151	1.0138452752914033	3.0517830322323203	0.003154207514318293	0.24989963679637195	2769.8559852263807
0.3999359137498527	-0.44960121491719457	1.001784515312104	2.9966996001168176	-0.0011621790088817757	0.24808573694647484	2825.376335695403
0.4004519599614799	-0.4500765220595189	1.0051275117357839	3.018677020214719	0.0014343822221781232	0.2502075057062068	2727.61107208285
0.8153397676814448	-0.9196291542948678	1.1286412487320647	2.7635416369104115	-0.7845318423765114	0.25129545924816327	2805.5741231610277
0.39964395515287343	-0.45076171669014414	0.9940037780500264	2.972521266753267	0.00023199973309284043	0.2514379377132878	2767.3149056892285
