idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
1371	1.8160E-01	1.7002E-01	2.1377E+00	-3.7596E-01	2.1208E+00	1.5791E+01	7.2905E-02	-1.7824E-01	8.4111E-01
1372	1.7294E-01	6.3812E-01	5.7329E+00	-4.4544E-01	2.1697E+00	1.2791E+01	4.9160E-02	-1.2346E-01	1.0524E+00
1373	1.8563E-01	5.8380E-01	3.6866E+00	-5.0973E-01	2.4639E+00	1.4438E+01	7.9755E-02	-1.5423E-01	1.6501E+00
1374	1.6901E-01	1.6328E-01	1.4915E+00	-4.9870E-01	1.5793E+00	8.1745E+00	6.1240E-02	-1.3712E-01	1.2174E+00
1375	1.9026E-01	9.3299E-01	7.7122E+00	-4.5017E-01	2.9752E+00	1.8303E+01	4.2215E-02	-1.3146E-01	1.4198E+00
1376	1.5745E-01	3.3498E-01	3.8271E+00	-3.7455E-01	2.0615E+00	1.6636E+01	6.9152E-02	-1.4117E-01	1.2567E+00
1377	1.6015E-01	3.8117E-01	4.0529E+00	-4.0741E-01	1.4130E+00	9.2759E+00	5.0924E-02	-9.1333E-02	1.0490E+00
1378	1.9007E-01	8.4775E-01	7.4301E+00	-5.3279E-01	3.3324E+00	2.5000E+01	8.3588E-02	-1.4345E-01	9.3494E-01
1379	1.7257E-01	5.4199E-01	4.3090E+00	-4.0252E-01	1.6201E+00	1.0413E+01	5.7539E-02	-1.1430E-01	9.8819E-01
1380	1.6670E-01	2.3582E-01	1.6843E+00	-4.1946E-01	2.2027E+00	1.3614E+01	6.6992E-02	-1.4895E-01	1.3699E+00
1381	1.7055E-01	5.6968E-01	4.2718E+00	-4.3233E-01	3.0817E+00	2.0012E+01	6.5775E-02	-1.4758E-01	1.3766E+00
1382	1.7900E-01	9.6922E-01	7.1553E+00	-3.9208E-01	3.0234E+00	2.3911E+01	5.9577E-02	-1.1465E-01	1.0002E+00
1383	1.6377E-01	2.6935E-01	2.8981E+00	-4.3826E-01	1.9327E+00	1.2594E+01	5.9633E-02	-1.1327E-01	1.1545E+00
1384	2.0387E-01	3.0472E-01	1.5548E+00	-4.3387E-01	8.2348E-01	2.7900E+00	2.6012E-02	-9.2500E-02	1.7687E+00
1385	1.9590E-01	1.3989E+00	1.2167E+01	-4.9209E-01	3.3565E+00	2.5000E+01	7.2043E-02	-1.4270E-01	1.8340E+00
1386	1.7616E-01	6.2256E-01	6.1947E+00	-4.3777E-01	3.1643E+00	2.5000E+01	5.4175E-02	-1.2432E-01	8.9283E-01
1387	2.7517E-01	1.0357E+00	8.8918E+00	-5.6104E-01	3.2772E+00	2.5000E+01	9.2237E-02	-2.3129E-01	3.0000E+00
1388	1.6654E-01	6.5369E-01	5.1117E+00	-4.2936E-01	1.6815E+00	9.6551E+00	7.2250E-02	-1.2223E-01	1.0660E+00
1389	2.2677E-01	1.6372E+00	1.1466E+01	-5.3486E-01	3.4724E+00	2.4674E+01	5.9353E-02	-1.1559E-01	1.8605E+00
1390	1.6229E-01	5.1979E-01	3.0165E+00	-3.7047E-01	2.8868E+00	1.9208E+01	6.9635E-02	-1.2788E-01	1.0490E+00
1391	1.8400E-01	6.3379E-01	5.1056E+00	-3.9313E-01	2.9872E+00	2.5000E+01	6.5976E-02	-1.3255E-01	1.5933E+00
1392	1.6608E-01	2.4575E-01	1.8747E+00	-3.6457E-01	2.3106E+00	1.5627E+01	5.5837E-02	-1.3127E-01	1.3433E+00
1393	1.7486E-01	8.3564E-01	6.8232E+00	-3.9639E-01	3.1372E+00	2.5000E+01	5.3691E-02	-1.2708E-01	1.0474E+00
1394	1.9171E-01	5.8269E-01	4.2619E+00	-5.2353E-01	2.4888E+00	1.5028E+01	7.2043E-02	-1.3715E-01	8.8180E-01
1395	1.7728E-01	2.8626E-01	2.2770E+00	-4.7514E-01	1.1999E+00	4.8952E+00	6.3730E-02	-1.2868E-01	9.6566E-01
1396	1.9321E-01	7.7987E-01	7.6089E+00	-4.4334E-01	3.1721E+00	2.5000E+01	4.8238E-02	-1.2174E-01	1.0724E+00
1397	1.8175E-01	8.4867E-01	7.0906E+00	-4.7230E-01	2.8480E+00	2.4737E+01	8.7824E-02	-1.3331E-01	1.6194E+00
1398	1.7383E-01	1.2163E+00	1.1043E+01	-4.2553E-01	3.1087E+00	2.3985E+01	5.5862E-02	-1.2276E-01	1.1219E+00
1399	1.7562E-01	3.1287E-01	2.2619E+00	-4.4216E-01	2.2418E+00	1.5014E+01	6.4314E-02	-1.4646E-01	1.4123E+00
1400	1.8063E-01	3.9843E-01	2.5072E+00	-5.1559E-01	1.7871E+00	8.7767E+00	6.4726E-02	-1.3001E-01	1.6120E+00
1401	1.6718E-01	6.9112E-01	5.6427E+00	-4.1235E-01	3.2771E+00	2.5000E+01	7.4222E-02	-1.4447E-01	1.2361E+00
1402	1.7819E-01	1.7415E-01	1.7274E+00	-4.6202E-01	1.6915E+00	8.4462E+00	5.8302E-02	-1.4219E-01	1.6029E+00
1403	1.7183E-01	3.6668E-01	3.0400E+00	-4.1452E-01	1.9896E+00	1.3384E+01	9.3052E-02	-1.6532E-01	1.0865E+00
1404	2.7908E-01	1.8965E-01	5.7776E-01	-7.2346E-01	1.0149E+00	4.0349E+00	7.9528E-02	-1.5237E-01	3.0000E+00
1405	2.5832E-01	8.2256E-01	6.8338E+00	-6.7785E-01	3.2030E+00	2.5000E+01	9.2813E-02	-1.8926E-01	2.7465E+00
1406	2.8705E-01	9.1176E-01	6.1720E+00	-7.2825E-01	3.0021E+00	2.0659E+01	1.0167E-01	-1.9069E-01	3.0000E+00
1407	1.8303E-01	3.3519E-01	2.0653E+00	-4.4292E-01	1.0740E+00	4.9283E+00	6.7636E-02	-1.1871E-01	8.1534E-01
1408	2.1968E-01	7.7529E-01	4.7831E+00	-5.7895E-01	1.9206E+00	1.0285E+01	8.7771E-02	-1.6830E-01	2.3225E+00
1409	1.8528E-01	6.4431E-01	6.5080E+00	-4.3400E-01	2.3691E+00	1.6439E+01	4.9017E-02	-1.2363E-01	1.0724E+00
1410	1.8983E-01	1.3166E-01	2.1291E-01	-4.8841E-01	1.1174E+00	4.1865E+00	5.1640E-02	-1.0963E-01	1.5544E+00
1411	1.9152E-01	1.4038E+00	9.9081E+00	-5.5168E-01	3.4606E+00	2.5000E+01	6.5999E-02	-1.1125E-01	1.0841E+00
1412	1.6993E-01	3.5189E-01	3.3303E+00	-5.1294E-01	1.4537E+00	5.7417E+00	1.6196E-02	-8.5086E-02	1.5011E+00
1413	1.7791E-01	6.6608E-01	6.9362E+00	-4.7164E-01	3.3024E+00	2.5000E+01	9.9570E-02	-1.9141E-01	8.8943E-01
1414	1.6878E-01	5.5832E-01	6.7097E+00	-3.3254E-01	2.7162E+00	2.5000E+01	7.5491E-02	-1.4997E-01	1.2041E+00
1415	2.7368E-01	1.4462E-01	1.6368E+00	-6.1301E-01	2.2534E+00	1.6085E+01	5.2544E-02	-1.9079E-01	2.8239E+00
1416	1.7408E-01	2.1853E-01	2.0171E+00	-4.1798E-01	2.0618E+00	1.5250E+01	6.6610E-02	-1.4660E-01	1.4772E+00
1417	1.7892E-01	4.7912E-01	6.4773E+00	-3.9828E-01	3.1644E+00	2.5000E+01	1.1944E-01	-1.9908E-01	7.2542E-01
1418	2.6867E-01	7.8560E-01	4.4726E+00	-6.8818E-01	2.3070E+00	1.6220E+01	1.1391E-01	-1.8497E-01	3.0000E+00
1419	1.6783E-01	1.1273E-01	9.4849E-01	-4.6252E-01	1.2690E+00	4.8541E+00	5.2727E-02	-1.3375E-01	1.3080E+00
1420	1.7479E-01	9.2145E-01	6.3437E+00	-4.3648E-01	3.4396E+00	2.5000E+01	8.3239E-02	-1.4281E-01	1.2328E+00
1421	1.6026E-01	4.8168E-02	5.5443E-01	-4.2154E-01	1.2611E+00	5.3875E+00	7.5063E-02	-1.4504E-01	1.2463E+00
1422	1.7681E-01	5.5336E-01	4.3639E+00	-3.9081E-01	2.2751E+00	1.5391E+01	3.8191E-02	-1.1619E-01	1.2759E+00
1423	1.8189E-01	1.0716E+00	9.9102E+00	-4.2472E-01	2.2064E+00	1.5794E+01	3.9281E-02	-7.6761E-02	1.4874E+00
1424	2.1273E-01	5.8947E-01	4.3456E+00	-6.3188E-01	1.8653E+00	9.3221E+00	4.7312E-02	-1.1953E-01	1.8734E+00
