idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
4085	1.8455E-01	5.9848E-01	4.6227E+00	-4.1660E-01	2.3585E+00	1.5776E+01	5.3996E-02	-1.2911E-01	1.3291E+00
4086	1.6841E-01	6.0770E-01	5.4688E+00	-4.1591E-01	2.5333E+00	1.7202E+01	6.8349E-02	-1.3187E-01	1.3471E+00
4087	1.6686E-01	6.3378E-01	4.7260E+00	-4.1672E-01	2.4378E+00	1.6491E+01	7.9295E-02	-1.3122E-01	1.3316E+00
4088	1.7116E-01	6.6012E-01	5.7213E+00	-4.1886E-01	2.3554E+00	1.5889E+01	6.4492E-02	-1.2466E-01	1.3400E+00
4089	1.7397E-01	8.6030E-01	8.4807E+00	-4.1667E-01	2.4703E+00	1.6995E+01	6.0619E-02	-1.2870E-01	1.3045E+00
4090	1.7620E-01	3.2816E-01	3.9653E+00	-4.1617E-01	2.2863E+00	1.5440E+01	4.9940E-02	-1.2498E-01	1.3189E+00
4091	1.8204E-01	6.6954E-01	4.9791E+00	-4.1889E-01	2.3369E+00	1.5556E+01	5.7676E-02	-1.2718E-01	1.3053E+00
4092	1.7354E-01	4.5861E-01	4.7630E+00	-4.1618E-01	2.3934E+00	1.6314E+01	5.0376E-02	-1.2501E-01	1.2665E+00
4093	1.7151E-01	1.1013E+00	9.5010E+00	-4.1514E-01	2.4562E+00	1.6736E+01	5.6056E-02	-1.2768E-01	1.3290E+00
4094	1.8207E-01	5.3312E-01	4.8069E+00	-4.1398E-01	2.3843E+00	1.6177E+01	3.4847E-02	-1.2427E-01	1.3271E+00
4095	1.6473E-01	5.2700E-01	3.8832E+00	-4.1636E-01	2.4463E+00	1.6490E+01	7.5617E-02	-1.3004E-01	1.3467E+00
4096	1.7005E-01	6.0939E-01	5.6821E+00	-4.1672E-01	2.3799E+00	1.5974E+01	5.6998E-02	-1.2666E-01	1.2516E+00
4097	1.7244E-01	4.8667E-01	4.4286E+00	-4.1503E-01	2.4082E+00	1.6121E+01	5.3654E-02	-1.2913E-01	1.3538E+00
4098	1.7841E-01	6.6219E-01	6.4985E+00	-4.1247E-01	2.3551E+00	1.6056E+01	5.6463E-02	-1.2876E-01	1.3308E+00
4099	1.8552E-01	7.3587E-01	5.2292E+00	-4.2120E-01	2.3376E+00	1.5811E+01	6.3625E-02	-1.2377E-01	1.3859E+00
4100	1.6729E-01	7.1696E-01	5.8146E+00	-4.0857E-01	2.3480E+00	1.5806E+01	7.7005E-02	-1.3320E-01	1.2946E+00
4101	1.6162E-01	4.7919E-01	4.1554E+00	-4.1066E-01	2.3888E+00	1.6118E+01	5.5647E-02	-1.2956E-01	1.3002E+00
4102	1.6988E-01	5.1921E-01	4.3443E+00	-4.1185E-01	2.2731E+00	1.5265E+01	5.7229E-02	-1.2783E-01	1.3326E+00
4103	1.5565E-01	6.7078E-01	5.1498E+00	-4.1329E-01	2.3544E+00	1.5823E+01	7.8880E-02	-1.2974E-01	1.2927E+00
4104	1.8111E-01	6.1002E-01	5.6088E+00	-4.1378E-01	2.4124E+00	1.6417E+01	5.5377E-02	-1.3032E-01	1.3678E+00
4105	1.5666E-01	4.3859E-01	3.8121E+00	-4.0735E-01	2.3089E+00	1.5559E+01	8.3108E-02	-1.3380E-01	1.3067E+00
