kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
7.000000E-01	-1.306697E-01	1.396666E-01	-4.023771E-03	1.271780E-02	-1.273037E-01	1.276079E-01	1.626564E-02	4.337955E-02	1.101192E-03	2.293496E-03	1.622457E-02	4.382160E-02
7.100000E-01	-1.264010E-01	1.351436E-01	-3.890191E-03	1.229664E-02	-1.231473E-01	1.234850E-01	1.560012E-02	4.204854E-02	1.054670E-03	2.174294E-03	1.558653E-02	4.249319E-02
7.200000E-01	-1.222176E-01	1.307096E-01	-3.759363E-03	1.188412E-02	-1.190740E-01	1.194429E-01	1.498031E-02	4.075336E-02	1.009902E-03	2.060593E-03	1.499118E-02	4.119757E-02
7.300000E-01	-1.181206E-01	1.263657E-01	-3.631313E-03	1.148032E-02	-1.150847E-01	1.154826E-01	1.440463E-02	3.949337E-02	9.668625E-04	1.952329E-03	1.443691E-02	3.993430E-02
7.400000E-01	-1.141107E-01	1.221127E-01	-3.506062E-03	1.108531E-02	-1.111801E-01	1.116049E-01	1.387128E-02	3.826791E-02	9.255204E-04	1.849429E-03	1.392195E-02	3.870294E-02
7.500000E-01	-1.101885E-01	1.179515E-01	-3.383629E-03	1.069914E-02	-1.073608E-01	1.078103E-01	1.337829E-02	3.707628E-02	8.858435E-04	1.751811E-03	1.344438E-02	3.750302E-02
7.600000E-01	-1.063546E-01	1.138824E-01	-3.264025E-03	1.032187E-02	-1.036273E-01	1.040996E-01	1.292350E-02	3.591776E-02	8.477970E-04	1.659382E-03	1.300212E-02	3.633400E-02
7.700000E-01	-1.026091E-01	1.099060E-01	-3.147258E-03	9.953503E-03	-9.998002E-02	1.004730E-01	1.250462E-02	3.479161E-02	8.113434E-04	1.572043E-03	1.259300E-02	3.519537E-02
7.800000E-01	-9.895247E-02	1.060225E-01	-3.033330E-03	9.594062E-03	-9.641904E-02	9.693079E-02	1.211924E-02	3.369704E-02	7.764435E-04	1.489683E-03	1.221474E-02	3.408656E-02
7.900000E-01	-9.538463E-02	1.022320E-01	-2.922242E-03	9.243544E-03	-9.294448E-02	9.347312E-02	1.176485E-02	3.263329E-02	7.430560E-04	1.412183E-03	1.186500E-02	3.300700E-02
