kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
7.800000E-01	-1.010614E-01	1.109029E-01	-3.062235E-03	9.679311E-03	-9.850978E-02	1.017511E-01	7.655954E-03	1.550879E-03	5.027448E-04	2.160581E-04	7.656845E-03	1.638218E-03
7.900000E-01	-9.744039E-02	1.069287E-01	-2.952492E-03	9.332441E-03	-9.498044E-02	9.810501E-02	7.387743E-03	1.489124E-03	4.846738E-04	2.076128E-04	7.388507E-03	1.575234E-03
8.000000E-01	-9.390546E-02	1.030490E-01	-2.845358E-03	8.993820E-03	-9.153501E-02	9.454566E-02	7.125826E-03	1.429883E-03	4.670366E-04	1.994373E-04	7.126460E-03	1.514557E-03
8.100000E-01	-9.045673E-02	9.926384E-02	-2.740838E-03	8.663459E-03	-8.817357E-02	9.107311E-02	6.870208E-03	1.373099E-03	4.498334E-04	1.915279E-04	6.870711E-03	1.456139E-03
8.200000E-01	-8.709418E-02	9.557333E-02	-2.638930E-03	8.341354E-03	-8.489612E-02	8.768734E-02	6.620885E-03	1.318708E-03	4.330640E-04	1.838811E-04	6.621256E-03	1.399932E-03
8.300000E-01	-8.381767E-02	9.197727E-02	-2.539630E-03	8.027493E-03	-8.170252E-02	8.438822E-02	6.377845E-03	1.266647E-03	4.167274E-04	1.764926E-04	6.378084E-03	1.345880E-03
8.400000E-01	-8.062694E-02	8.847539E-02	-2.442932E-03	7.721853E-03	-7.859252E-02	8.117548E-02	6.141069E-03	1.216847E-03	4.008221E-04	1.693580E-04	6.141176E-03	1.293928E-03
8.500000E-01	-7.752165E-02	8.506730E-02	-2.348823E-03	7.424398E-03	-7.556579E-02	7.804877E-02	5.910528E-03	1.169236E-03	3.853463E-04	1.624727E-04	5.910503E-03	1.244019E-03
8.600000E-01	-7.450133E-02	8.175248E-02	-2.257290E-03	7.135084E-03	-7.262187E-02	7.500764E-02	5.686187E-03	1.123741E-03	3.702972E-04	1.558317E-04	5.686031E-03	1.196093E-03
8.700000E-01	-7.156542E-02	7.853032E-02	-2.168316E-03	6.853859E-03	-6.976021E-02	7.205150E-02	5.468004E-03	1.080286E-03	3.556721E-04	1.494300E-04	5.467719E-03	1.150087E-03
8.800000E-01	-6.871327E-02	7.540011E-02	-2.081882E-03	6.580658E-03	-6.698019E-02	6.917971E-02	5.255931E-03	1.038793E-03	3.414672E-04	1.432621E-04	5.255519E-03	1.105939E-03
8.900000E-01	-6.594414E-02	7.236104E-02	-1.997964E-03	6.315412E-03	-6.428108E-02	6.639153E-02	5.049913E-03	9.991829E-04	3.276788E-04	1.373226E-04	5.049376E-03	1.063585E-03
9.000000E-01	-6.325721E-02	6.941219E-02	-1.916538E-03	6.058042E-03	-6.166208E-02	6.368611E-02	4.849889E-03	9.613762E-04	3.143026E-04	1.316058E-04	4.849228E-03	1.022961E-03
9.100000E-01	-6.065157E-02	6.655258E-02	-1.837576E-03	5.808459E-03	-5.912231E-02	6.106255E-02	4.655792E-03	9.252925E-04	3.013338E-04	1.261060E-04	4.655012E-03	9.840015E-04
9.200000E-01	-5.812625E-02	6.378113E-02	-1.761049E-03	5.566572E-03	-5.666081E-02	5.851987E-02	4.467551E-03	8.908516E-04	2.887673E-04	1.208172E-04	4.466654E-03	9.466414E-04
9.300000E-01	-5.568020E-02	6.109670E-02	-1.686924E-03	5.332279E-03	-5.427658E-02	5.605702E-02	4.285089E-03	8.579734E-04	2.765978E-04	1.157336E-04	4.284079E-03	9.108160E-04
