i;obs;value;stat;syst1;Q2;x;z;pT;target;hadron
114;M_Hermes;7.786338;0.07549556;0.962294;1.834674;0.09568023;0.1453562;0.3039196;deuteron;pi+
115;M_Hermes;5.679699;0.06799769;0.6573988;1.834674;0.09568023;0.1471038;0.404658;deuteron;pi+
116;M_Hermes;3.216413;0.05446492;0.4525116;1.834674;0.09568023;0.1477841;0.5303549;deuteron;pi+
117;M_Hermes;1.151275;0.05101849;0.2435787;1.834674;0.09568023;0.1570861;0.7251793;deuteron;pi+
118;M_Hermes;0.09672484;0.03115978;0.02046331;1.834674;0.09568023;0.1657153;0.9394899;deuteron;pi+
119;M_Hermes;1.682253;0.02756843;0.2111291;1.834674;0.09568023;0.2236012;0.1001994;deuteron;pi+
120;M_Hermes;3.700732;0.05608426;0.2809977;1.834674;0.09568023;0.2239778;0.2032892;deuteron;pi+
121;M_Hermes;4.29931;0.06656706;0.2525207;1.834674;0.09568023;0.2246981;0.3024744;deuteron;pi+
122;M_Hermes;3.60815;0.05739391;0.1622766;1.834674;0.09568023;0.2251838;0.3998591;deuteron;pi+
123;M_Hermes;2.014438;0.03405542;0.1160343;1.834674;0.09568023;0.2277549;0.5234224;deuteron;pi+
124;M_Hermes;0.8040962;0.023545;0.1187028;1.834674;0.09568023;0.2298143;0.6982417;deuteron;pi+
125;M_Hermes;0.1300672;0.01219521;0.01931511;1.834674;0.09568023;0.2329231;0.9603264;deuteron;pi+
126;M_Hermes;1.153236;0.02145897;0.09753964;1.834674;0.09568023;0.2735603;0.1016009;deuteron;pi+
127;M_Hermes;2.442203;0.0425561;0.1127892;1.834674;0.09568023;0.2738395;0.202817;deuteron;pi+
128;M_Hermes;3.114973;0.05400584;0.09694557;1.834674;0.09568023;0.2745104;0.3022138;deuteron;pi+
129;M_Hermes;2.61725;0.05042276;0.07972977;1.834674;0.09568023;0.274345;0.4000219;deuteron;pi+
130;M_Hermes;1.761447;0.03070802;0.04521615;1.834674;0.09568023;0.275886;0.5204878;deuteron;pi+
131;M_Hermes;0.6580065;0.01733607;0.0649086;1.834674;0.09568023;0.2781415;0.6888021;deuteron;pi+
132;M_Hermes;0.1083303;0.006830539;0.01076896;1.834674;0.09568023;0.2805371;0.9353842;deuteron;pi+
133;M_Hermes;0.7454595;0.01267625;0.03935962;1.834674;0.09568023;0.3348701;0.1013276;deuteron;pi+
