  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
98,8.8,0.170955,0.568594,0.671999,1.600532,0.524914,AUT,0.0,0.009113,0.070207,0.001374,neutron,pi-,solid
99,8.8,0.255926,0.526379,0.323852,2.209845,0.114185,AUT,0.0,0.003158,0.070207,0.001642,neutron,pi-,solid
100,8.8,0.326562,0.462102,0.323738,2.488104,0.121402,AUT,0.0,0.004421,0.070207,0.001718,neutron,pi-,solid
101,8.8,0.263943,0.518244,0.324040,2.238114,0.292312,AUT,0.0,0.007474,0.070207,0.001650,neutron,pi-,solid
102,8.8,0.341448,0.451072,0.324048,2.542283,0.291336,AUT,0.0,0.016886,0.070207,0.001733,neutron,pi-,solid
103,8.8,0.277648,0.507167,0.324541,2.296307,0.511110,AUT,0.0,0.005842,0.070207,0.001664,neutron,pi-,solid
104,8.8,0.271544,0.511097,0.373760,2.269433,0.119198,AUT,0.0,0.002825,0.070207,0.001626,neutron,pi-,solid
105,8.8,0.357982,0.448268,0.373410,2.649711,0.133321,AUT,0.0,0.012654,0.070207,0.001708,neutron,pi-,solid
106,8.8,0.253285,0.528980,0.373829,2.196685,0.366809,AUT,0.0,0.004629,0.070207,0.001609,neutron,pi-,solid
107,8.8,0.325574,0.460072,0.373941,2.469584,0.364424,AUT,0.0,0.006857,0.070207,0.001678,neutron,pi-,solid
108,8.8,0.252832,0.529342,0.423778,2.195605,0.202850,AUT,0.0,0.003467,0.070207,0.001582,neutron,pi-,solid
109,8.8,0.323349,0.463628,0.423770,2.471121,0.213537,AUT,0.0,0.004195,0.070207,0.001642,neutron,pi-,solid
110,8.8,0.273532,0.512250,0.423998,2.286579,0.551450,AUT,0.0,0.004925,0.070207,0.001599,neutron,pi-,solid
111,8.8,0.265806,0.515991,0.473786,2.244523,0.209239,AUT,0.0,0.003082,0.070207,0.001565,neutron,pi-,solid
112,8.8,0.344030,0.450981,0.473746,2.561138,0.227638,AUT,0.0,0.007615,0.070207,0.001621,neutron,pi-,solid
113,8.8,0.270034,0.517012,0.473701,2.279451,0.553457,AUT,0.0,0.005984,0.070207,0.001568,neutron,pi-,solid
114,8.8,0.267048,0.515042,0.523799,2.250108,0.275814,AUT,0.0,0.003150,0.070207,0.001535,neutron,pi-,solid
115,8.8,0.347755,0.451478,0.523110,2.591888,0.271182,AUT,0.0,0.009293,0.070207,0.001583,neutron,pi-,solid
116,8.8,0.270807,0.515399,0.573299,2.279683,0.302560,AUT,0.0,0.003176,0.070207,0.001501,neutron,pi-,solid
117,8.8,0.262687,0.527246,0.622627,2.268656,0.289528,AUT,0.0,0.003997,0.070207,0.001455,neutron,pi-,solid
118,8.8,0.251584,0.544687,0.671676,2.252041,0.270347,AUT,0.0,0.005418,0.070207,0.001405,neutron,pi-,solid
119,8.8,0.358685,0.563082,0.323771,3.329825,0.192677,AUT,0.0,0.006016,0.070207,0.001764,neutron,pi-,solid
120,8.8,0.425234,0.526119,0.323770,3.691647,0.202697,AUT,0.0,0.008980,0.070207,0.001832,neutron,pi-,solid
121,8.8,0.375589,0.554053,0.324138,3.424329,0.529059,AUT,0.0,0.012216,0.070207,0.001781,neutron,pi-,solid
122,8.8,0.373133,0.555123,0.373793,3.409771,0.199563,AUT,0.0,0.005227,0.070207,0.001732,neutron,pi-,solid
123,8.8,0.453784,0.511528,0.373631,3.833057,0.217517,AUT,0.0,0.026313,0.070207,0.001802,neutron,pi-,solid
124,8.8,0.373642,0.555407,0.373999,3.415215,0.543440,AUT,0.0,0.012015,0.070207,0.001733,neutron,pi-,solid
125,8.8,0.371299,0.556272,0.423801,3.400697,0.293798,AUT,0.0,0.005166,0.070207,0.001688,neutron,pi-,solid
126,8.8,0.450648,0.512541,0.423638,3.813996,0.279012,AUT,0.0,0.024306,0.070207,0.001745,neutron,pi-,solid
127,8.8,0.374480,0.554849,0.473634,3.418939,0.297137,AUT,0.0,0.005584,0.070207,0.001648,neutron,pi-,solid
128,8.8,0.373372,0.555746,0.523552,3.414853,0.294798,AUT,0.0,0.006233,0.070207,0.001599,neutron,pi-,solid
129,8.8,0.369951,0.558546,0.573087,3.402228,0.282680,AUT,0.0,0.007096,0.070207,0.001543,neutron,pi-,solid
130,8.8,0.462704,0.568991,0.323727,4.344141,0.272884,AUT,0.0,0.008629,0.070207,0.001876,neutron,pi-,solid
131,8.8,0.462180,0.569372,0.373764,4.342046,0.275754,AUT,0.0,0.009796,0.070207,0.001814,neutron,pi-,solid
132,8.8,0.462070,0.569256,0.423688,4.340141,0.280285,AUT,0.0,0.010930,0.070207,0.001758,neutron,pi-,solid
133,8.8,0.461357,0.569969,0.473554,4.338935,0.279296,AUT,0.0,0.011953,0.070207,0.001700,neutron,pi-,solid
