  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
348,11.0,0.344527,0.483047,0.474687,3.417983,0.484189,AUT,0.0,0.016188,0.070207,0.001738,neutron,pi+,solid
349,11.0,0.417710,0.418639,0.473732,3.608130,0.475581,AUT,0.0,0.040550,0.070207,0.001982,neutron,pi+,solid
350,11.0,0.278504,0.573390,0.523695,3.284830,0.128609,AUT,0.0,0.005928,0.070207,0.001575,neutron,pi+,solid
351,11.0,0.340680,0.487526,0.523668,3.419107,0.125879,AUT,0.0,0.006562,0.070207,0.001749,neutron,pi+,solid
352,11.0,0.406959,0.429652,0.523363,3.605452,0.142983,AUT,0.0,0.018383,0.070207,0.001974,neutron,pi+,solid
353,11.0,0.261500,0.606760,0.523878,3.269934,0.299239,AUT,0.0,0.006356,0.070207,0.001533,neutron,pi+,solid
354,11.0,0.304063,0.541175,0.524109,3.389467,0.291992,AUT,0.0,0.009244,0.070207,0.001643,neutron,pi+,solid
355,11.0,0.356479,0.465496,0.524110,3.419147,0.292562,AUT,0.0,0.007212,0.070207,0.001798,neutron,pi+,solid
356,11.0,0.413417,0.417868,0.523781,3.563614,0.298963,AUT,0.0,0.013324,0.070207,0.001998,neutron,pi+,solid
357,11.0,0.273231,0.595283,0.524310,3.343198,0.487313,AUT,0.0,0.015112,0.070207,0.001562,neutron,pi+,solid
358,11.0,0.360651,0.466900,0.523801,3.455701,0.484048,AUT,0.0,0.014566,0.070207,0.001811,neutron,pi+,solid
359,11.0,0.306778,0.556569,0.527064,3.471712,0.641617,AUT,0.0,0.030314,0.070207,0.001651,neutron,pi+,solid
360,11.0,0.290100,0.555009,0.573687,3.304362,0.128314,AUT,0.0,0.006083,0.070207,0.001625,neutron,pi+,solid
361,11.0,0.367976,0.462793,0.573546,3.502476,0.131398,AUT,0.0,0.008919,0.070207,0.001864,neutron,pi+,solid
362,11.0,0.268231,0.596593,0.573878,3.295634,0.299350,AUT,0.0,0.006539,0.070207,0.001567,neutron,pi+,solid
363,11.0,0.324728,0.506482,0.574049,3.384263,0.292425,AUT,0.0,0.007841,0.070207,0.001725,neutron,pi+,solid
364,11.0,0.391397,0.436865,0.572900,3.523117,0.295993,AUT,0.0,0.009504,0.070207,0.001948,neutron,pi+,solid
365,11.0,0.279418,0.583841,0.574268,3.346030,0.488808,AUT,0.0,0.012837,0.070207,0.001597,neutron,pi+,solid
366,11.0,0.362147,0.467507,0.573179,3.486584,0.481742,AUT,0.0,0.018526,0.070207,0.001844,neutron,pi+,solid
367,11.0,0.296362,0.565170,0.575186,3.418870,0.665806,AUT,0.0,0.032896,0.070207,0.001643,neutron,pi+,solid
368,11.0,0.305514,0.534845,0.623711,3.340752,0.128378,AUT,0.0,0.006334,0.070207,0.001691,neutron,pi+,solid
369,11.0,0.390736,0.448683,0.622397,3.615925,0.135851,AUT,0.0,0.019818,0.070207,0.001984,neutron,pi+,solid
370,11.0,0.276958,0.581417,0.623894,3.310984,0.298723,AUT,0.0,0.006748,0.070207,0.001611,neutron,pi+,solid
371,11.0,0.353369,0.475977,0.623012,3.458786,0.293734,AUT,0.0,0.007358,0.070207,0.001845,neutron,pi+,solid
372,11.0,0.289920,0.566970,0.624001,3.358321,0.489354,AUT,0.0,0.011372,0.070207,0.001647,neutron,pi+,solid
