i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
68,27.6,0.06102772,0.479995291852701,0.2396768,1.517162,0.7252111,M_Hermes,0.9496876,0.02365451,0,0.1125191,deuteron,pi+,hermes,NA
69,27.6,0.06102772,0.479995291852701,0.2456023,1.517162,0.9923212,M_Hermes,0.1610185,0.01261873,0,0.01924098,deuteron,pi+,hermes,NA
70,27.6,0.06102772,0.479995291852701,0.2744569,1.517162,0.1015526,M_Hermes,1.211167,0.02380634,0,0.0507723,deuteron,pi+,hermes,NA
71,27.6,0.06102772,0.479995291852701,0.275274,1.517162,0.2043681,M_Hermes,2.569258,0.04334094,0,0.1274994,deuteron,pi+,hermes,NA
72,27.6,0.06102772,0.479995291852701,0.2766259,1.517162,0.3037406,M_Hermes,3.040972,0.05064471,0,0.240359,deuteron,pi+,hermes,NA
73,27.6,0.06102772,0.479995291852701,0.2781486,1.517162,0.4054623,M_Hermes,2.793142,0.04762157,0,0.2173898,deuteron,pi+,hermes,NA
74,27.6,0.06102772,0.479995291852701,0.2798794,1.517162,0.5289009,M_Hermes,1.980457,0.03009169,0,0.1029512,deuteron,pi+,hermes,NA
75,27.6,0.06102772,0.479995291852701,0.2832093,1.517162,0.7020498,M_Hermes,0.8479164,0.01875362,0,0.05455073,deuteron,pi+,hermes,NA
76,27.6,0.06102772,0.479995291852701,0.2887856,1.517162,0.9745581,M_Hermes,0.1579223,0.007608743,0,0.01053065,deuteron,pi+,hermes,NA
77,27.6,0.06102772,0.479995291852701,0.3342258,1.517162,0.1005265,M_Hermes,0.7489332,0.01472713,0,0.02798647,deuteron,pi+,hermes,NA
78,27.6,0.06102772,0.479995291852701,0.3351675,1.517162,0.2055726,M_Hermes,1.572877,0.02583268,0,0.1335373,deuteron,pi+,hermes,NA
79,27.6,0.06102772,0.479995291852701,0.3372428,1.517162,0.3031565,M_Hermes,2.011694,0.03083189,0,0.2219348,deuteron,pi+,hermes,NA
80,27.6,0.06102772,0.479995291852701,0.3377736,1.517162,0.4031675,M_Hermes,1.937504,0.03123994,0,0.2195089,deuteron,pi+,hermes,NA
81,27.6,0.06102772,0.479995291852701,0.3412579,1.517162,0.5275154,M_Hermes,1.459708,0.0208721,0,0.1285426,deuteron,pi+,hermes,NA
82,27.6,0.06102772,0.479995291852701,0.3431324,1.517162,0.7009587,M_Hermes,0.6703344,0.01189583,0,0.02318246,deuteron,pi+,hermes,NA
83,27.6,0.06102772,0.479995291852701,0.3487512,1.517162,0.9538338,M_Hermes,0.1405039,0.004337607,0,0.004349147,deuteron,pi+,hermes,NA
84,27.6,0.06102772,0.479995291852701,0.4206161,1.517162,0.1015127,M_Hermes,0.36855,0.008446439,0,0.02835986,deuteron,pi+,hermes,NA
85,27.6,0.06102772,0.479995291852701,0.4211613,1.517162,0.2030567,M_Hermes,0.797456,0.01538606,0,0.09962889,deuteron,pi+,hermes,NA
86,27.6,0.06102772,0.479995291852701,0.4213588,1.517162,0.3033921,M_Hermes,1.061574,0.0183444,0,0.1586276,deuteron,pi+,hermes,NA
87,27.6,0.06102772,0.479995291852701,0.4231372,1.517162,0.4027568,M_Hermes,1.1139,0.01968067,0,0.1708314,deuteron,pi+,hermes,NA
88,27.6,0.06102772,0.479995291852701,0.4246836,1.517162,0.5248502,M_Hermes,0.9386088,0.01497185,0,0.1206584,deuteron,pi+,hermes,NA
89,27.6,0.06102772,0.479995291852701,0.4290816,1.517162,0.6975879,M_Hermes,0.5470921,0.009365982,0,0.02164348,deuteron,pi+,hermes,NA
90,27.6,0.06102772,0.479995291852701,0.4302497,1.517162,0.9421213,M_Hermes,0.122012,0.003011837,0,0.005252184,deuteron,pi+,hermes,NA
91,27.6,0.06102772,0.479995291852701,0.5300833,1.517162,0.1008112,M_Hermes,0.1767497,0.005126361,0,0.01864079,deuteron,pi+,hermes,NA
92,27.6,0.06102772,0.479995291852701,0.5308146,1.517162,0.2041742,M_Hermes,0.4205672,0.009736028,0,0.06458331,deuteron,pi+,hermes,NA
93,27.6,0.06102772,0.479995291852701,0.5343382,1.517162,0.3025528,M_Hermes,0.5333323,0.01119782,0,0.08246083,deuteron,pi+,hermes,NA
94,27.6,0.06102772,0.479995291852701,0.5343987,1.517162,0.4030503,M_Hermes,0.5712283,0.01206717,0,0.08927379,deuteron,pi+,hermes,NA
95,27.6,0.06102772,0.479995291852701,0.5355713,1.517162,0.523682,M_Hermes,0.5519982,0.01003782,0,0.08608202,deuteron,pi+,hermes,NA
96,27.6,0.06102772,0.479995291852701,0.5352676,1.517162,0.6926013,M_Hermes,0.3385834,0.006861722,0,0.02385958,deuteron,pi+,hermes,NA
97,27.6,0.06102772,0.479995291852701,0.5412429,1.517162,0.9377525,M_Hermes,0.09482215,0.002325979,0,0.006497836,deuteron,pi+,hermes,NA
98,27.6,0.06102772,0.479995291852701,0.6933543,1.517162,0.1011273,M_Hermes,0.07713487,0.002532354,0,0.007397657,deuteron,pi+,hermes,NA
