x	xu	dxu	xd	dxd
4.825000E-01	9.969797E-02	2.565766E-03	-2.764159E-02	7.338964E-04
4.875000E-01	9.584704E-02	2.558097E-03	-2.614360E-02	7.185630E-04
4.925000E-01	9.206689E-02	2.548074E-03	-2.470109E-02	7.027993E-04
4.975000E-01	8.836230E-02	2.535703E-03	-2.331465E-02	6.866556E-04
5.025000E-01	8.473259E-02	2.520859E-03	-2.198227E-02	6.701138E-04
5.075000E-01	8.117972E-02	2.503509E-03	-2.070338E-02	6.532025E-04
5.125000E-01	7.770859E-02	2.483733E-03	-1.947890E-02	6.360042E-04
5.175000E-01	7.432090E-02	2.461541E-03	-1.830788E-02	6.185518E-04
5.225000E-01	7.101552E-02	2.436865E-03	-1.718753E-02	6.008185E-04
5.275000E-01	6.779558E-02	2.409799E-03	-1.611773E-02	5.828692E-04
5.325000E-01	6.466356E-02	2.380437E-03	-1.509833E-02	5.647758E-04
5.375000E-01	6.161678E-02	2.348708E-03	-1.412911E-02	5.466167E-04
5.425000E-01	5.865664E-02	2.314699E-03	-1.320640E-02	5.283384E-04
5.475000E-01	5.578617E-02	2.278584E-03	-1.232605E-02	5.098574E-04
5.525000E-01	5.300553E-02	2.240447E-03	-1.149031E-02	4.913494E-04
5.575000E-01	5.031296E-02	2.200305E-03	-1.070111E-02	4.729970E-04
5.625000E-01	4.770929E-02	2.158296E-03	-9.953369E-03	4.546809E-04
5.675000E-01	4.519439E-02	2.114532E-03	-9.246237E-03	4.364612E-04
5.725000E-01	4.276772E-02	2.069120E-03	-8.578462E-03	4.183807E-04
5.775000E-01	4.042888E-02	2.022187E-03	-7.948731E-03	4.004795E-04
5.825000E-01	3.817708E-02	1.973851E-03	-7.355546E-03	3.827871E-04
5.875000E-01	3.601146E-02	1.924238E-03	-6.797579E-03	3.653404E-04
5.925000E-01	3.393104E-02	1.873477E-03	-6.273403E-03	3.481693E-04
5.975000E-01	3.193473E-02	1.821701E-03	-5.781612E-03	3.313026E-04
6.025000E-01	3.002130E-02	1.769042E-03	-5.320880E-03	3.147709E-04
6.075000E-01	2.818933E-02	1.715628E-03	-4.889771E-03	2.985957E-04
6.125000E-01	2.643745E-02	1.661597E-03	-4.486991E-03	2.828039E-04
6.175000E-01	2.476438E-02	1.607098E-03	-4.111260E-03	2.674200E-04
6.225000E-01	2.316832E-02	1.552254E-03	-3.761199E-03	2.524586E-04
6.275000E-01	2.164755E-02	1.497193E-03	-3.435580E-03	2.379401E-04
6.325000E-01	2.020028E-02	1.442043E-03	-3.133128E-03	2.238779E-04
6.375000E-01	1.882473E-02	1.386934E-03	-2.852603E-03	2.102832E-04
6.425000E-01	1.751904E-02	1.331993E-03	-2.592876E-03	1.971709E-04
6.475000E-01	1.628121E-02	1.277333E-03	-2.352761E-03	1.845472E-04
6.525000E-01	1.510931E-02	1.223076E-03	-2.131122E-03	1.724172E-04
6.575000E-01	1.400138E-02	1.169338E-03	-1.926914E-03	1.607883E-04
6.625000E-01	1.295525E-02	1.116217E-03	-1.739053E-03	1.496601E-04
6.675000E-01	1.196890E-02	1.063818E-03	-1.566533E-03	1.390330E-04
6.725000E-01	1.104033E-02	1.012247E-03	-1.408406E-03	1.289079E-04
6.775000E-01	1.016729E-02	9.615816E-04	-1.263712E-03	1.192793E-04
6.825000E-01	9.347747E-03	9.119130E-04	-1.131559E-03	1.101425E-04
6.875000E-01	8.579665E-03	8.633283E-04	-1.011104E-03	1.014925E-04
6.925000E-01	7.860829E-03	8.158892E-04	-9.015134E-04	9.331998E-05
6.975000E-01	7.189208E-03	7.696684E-04	-8.020049E-04	8.561538E-05
7.025000E-01	6.562803E-03	7.247345E-04	-7.118534E-04	7.837004E-05
7.075000E-01	5.979477E-03	6.811325E-04	-6.303454E-04	7.157144E-05
7.125000E-01	5.437236E-03	6.389139E-04	-5.568004E-04	6.520548E-05
7.175000E-01	4.934121E-03	5.981246E-04	-4.906125E-04	5.926153E-05
7.225000E-01	4.468130E-03	5.587951E-04	-4.311757E-04	5.372419E-05
7.275000E-01	4.037344E-03	5.209549E-04	-3.779113E-04	4.857621E-05
7.325000E-01	3.639892E-03	4.846281E-04	-3.303270E-04	4.380643E-05
7.375000E-01	3.273961E-03	4.498351E-04	-2.879054E-04	3.939596E-05
7.425000E-01	2.937705E-03	4.165796E-04	-2.501780E-04	3.532749E-05
7.475000E-01	2.629388E-03	3.848673E-04	-2.167451E-04	3.158890E-05
7.525000E-01	2.347377E-03	3.547061E-04	-1.871754E-04	2.815930E-05
7.575000E-01	2.089957E-03	3.260787E-04	-1.611060E-04	2.502336E-05
7.625000E-01	1.855554E-03	2.989753E-04	-1.381978E-04	2.216543E-05
7.675000E-01	1.642678E-03	2.733856E-04	-1.181243E-04	1.956784E-05
7.725000E-01	1.449820E-03	2.492823E-04	-1.005965E-04	1.721513E-05
