x	xu	dxu	xd	dxd
1.275000E-01	1.777994E-01	4.695819E-03	-9.832155E-02	1.334354E-02
1.325000E-01	1.840787E-01	4.877491E-03	-1.017512E-01	1.381240E-02
1.375000E-01	1.901390E-01	5.059771E-03	-1.050219E-01	1.426056E-02
1.425000E-01	1.959624E-01	5.242638E-03	-1.081031E-01	1.468391E-02
1.475000E-01	2.015505E-01	5.426538E-03	-1.110046E-01	1.508386E-02
1.525000E-01	2.068923E-01	5.611518E-03	-1.137167E-01	1.545908E-02
1.575000E-01	2.119808E-01	5.797661E-03	-1.162328E-01	1.580877E-02
1.625000E-01	2.168103E-01	5.985033E-03	-1.185501E-01	1.613251E-02
1.675000E-01	2.213736E-01	6.173581E-03	-1.206623E-01	1.642950E-02
1.725000E-01	2.256671E-01	6.363285E-03	-1.225686E-01	1.669962E-02
1.775000E-01	2.296856E-01	6.554016E-03	-1.242665E-01	1.694252E-02
1.825000E-01	2.334266E-01	6.745650E-03	-1.257564E-01	1.715827E-02
1.875000E-01	2.368871E-01	6.937984E-03	-1.270382E-01	1.734683E-02
1.925000E-01	2.400628E-01	7.130720E-03	-1.281103E-01	1.750796E-02
1.975000E-01	2.429550E-01	7.323659E-03	-1.289776E-01	1.764228E-02
2.025000E-01	2.455613E-01	7.516441E-03	-1.296405E-01	1.774982E-02
2.075000E-01	2.478828E-01	7.708754E-03	-1.301032E-01	1.783109E-02
2.125000E-01	2.499201E-01	7.900227E-03	-1.303700E-01	1.788665E-02
2.175000E-01	2.516722E-01	8.090394E-03	-1.304429E-01	1.791669E-02
2.225000E-01	2.531444E-01	8.278946E-03	-1.303294E-01	1.792219E-02
2.275000E-01	2.543378E-01	8.465412E-03	-1.300345E-01	1.790373E-02
2.325000E-01	2.552530E-01	8.649260E-03	-1.295617E-01	1.786172E-02
2.375000E-01	2.558977E-01	8.830180E-03	-1.289200E-01	1.779733E-02
2.425000E-01	2.562742E-01	9.007653E-03	-1.281154E-01	1.771128E-02
2.475000E-01	2.563849E-01	9.181145E-03	-1.271526E-01	1.760412E-02
2.525000E-01	2.562378E-01	9.350294E-03	-1.260403E-01	1.747696E-02
2.575000E-01	2.558377E-01	9.514634E-03	-1.247867E-01	1.733083E-02
2.625000E-01	2.551902E-01	9.673707E-03	-1.233975E-01	1.716639E-02
2.675000E-01	2.542987E-01	9.826964E-03	-1.218798E-01	1.698454E-02
2.725000E-01	2.531748E-01	9.974181E-03	-1.202439E-01	1.678659E-02
2.775000E-01	2.518235E-01	1.011488E-02	-1.184961E-01	1.657330E-02
2.825000E-01	2.502492E-01	1.024855E-02	-1.166426E-01	1.634542E-02
2.875000E-01	2.484623E-01	1.037493E-02	-1.146923E-01	1.610409E-02
2.925000E-01	2.464711E-01	1.049372E-02	-1.126545E-01	1.585048E-02
2.975000E-01	2.442830E-01	1.060455E-02	-1.105345E-01	1.558522E-02
3.025000E-01	2.419023E-01	1.070696E-02	-1.083399E-01	1.530927E-02
3.075000E-01	2.393416E-01	1.080085E-02	-1.060789E-01	1.502365E-02
3.125000E-01	2.366092E-01	1.088597E-02	-1.037601E-01	1.472949E-02
3.175000E-01	2.337131E-01	1.096206E-02	-1.013882E-01	1.442734E-02
3.225000E-01	2.306588E-01	1.102878E-02	-9.897092E-02	1.411817E-02
3.275000E-01	2.274576E-01	1.108607E-02	-9.651524E-02	1.380287E-02
3.325000E-01	2.241198E-01	1.113386E-02	-9.402876E-02	1.348244E-02
3.375000E-01	2.206529E-01	1.117197E-02	-9.151707E-02	1.315756E-02
3.425000E-01	2.170642E-01	1.120024E-02	-8.898484E-02	1.282881E-02
3.475000E-01	2.133613E-01	1.121854E-02	-8.644015E-02	1.249727E-02
3.525000E-01	2.095565E-01	1.122702E-02	-8.388731E-02	1.216347E-02
3.575000E-01	2.056582E-01	1.122565E-02	-8.133399E-02	1.182843E-02
3.625000E-01	2.016734E-01	1.121439E-02	-7.878199E-02	1.149234E-02
3.675000E-01	1.976095E-01	1.119319E-02	-7.623829E-02	1.115615E-02
3.725000E-01	1.934754E-01	1.116217E-02	-7.370813E-02	1.082054E-02
3.775000E-01	1.892816E-01	1.112153E-02	-7.119470E-02	1.048594E-02
3.825000E-01	1.850361E-01	1.107141E-02	-6.870419E-02	1.015319E-02
3.875000E-01	1.807446E-01	1.101181E-02	-6.623692E-02	9.822297E-03
3.925000E-01	1.764147E-01	1.094287E-02	-6.379903E-02	9.494120E-03
3.975000E-01	1.720543E-01	1.086479E-02	-6.139466E-02	9.169236E-03
4.025000E-01	1.676721E-01	1.077786E-02	-5.902479E-02	8.847763E-03
4.075000E-01	1.632764E-01	1.068239E-02	-5.669480E-02	8.530482E-03
4.125000E-01	1.588719E-01	1.057846E-02	-5.440462E-02	8.217360E-03
4.175000E-01	1.544649E-01	1.046630E-02	-5.215732E-02	7.908848E-03
4.225000E-01	1.500631E-01	1.034626E-02	-4.995805E-02	7.605720E-03
4.275000E-01	1.456722E-01	1.021859E-02	-4.780564E-02	7.307796E-03
4.325000E-01	1.412998E-01	1.008370E-02	-4.570280E-02	7.015497E-03
4.375000E-01	1.369523E-01	9.941953E-03	-4.365203E-02	6.729215E-03
