# Q2	x	y	z	pT	obs	target	hadron	value	stat	systrel	systabs
2.6404E+00	2.8340E-01	4.5258E-01	5.7507E-01	5.3183E-01	AUT	proton	pi-	0.0000E+00	1.7723E-02	7.0207E-02	8.9060E-03
2.3329E+00	2.0158E-01	5.6940E-01	6.2361E-01	2.4180E-01	AUT	proton	pi-	0.0000E+00	9.6720E-03	7.0207E-02	9.2100E-03
2.5644E+00	2.8311E-01	4.4042E-01	6.2381E-01	2.4428E-01	AUT	proton	pi-	0.0000E+00	1.5558E-02	7.0207E-02	9.0800E-03
2.3666E+00	1.9732E-01	5.9774E-01	6.2393E-01	5.9292E-01	AUT	proton	pi-	0.0000E+00	9.9030E-03	7.0207E-02	9.2110E-03
2.7327E+00	3.0284E-01	4.3760E-01	6.2108E-01	4.8777E-01	AUT	proton	pi-	0.0000E+00	3.8572E-02	7.0207E-02	9.0400E-03
2.3239E+00	1.9461E-01	5.8696E-01	6.7361E-01	3.3632E-01	AUT	proton	pi-	0.0000E+00	1.0013E-02	7.0207E-02	9.3910E-03
2.5548E+00	2.6728E-01	4.6442E-01	6.7206E-01	2.9143E-01	AUT	proton	pi-	0.0000E+00	1.6174E-02	7.0207E-02	9.3040E-03
2.3669E+00	1.8166E-01	6.4471E-01	6.7342E-01	7.6330E-01	AUT	proton	pi-	0.0000E+00	1.9452E-02	7.0207E-02	9.3920E-03
3.3364E+00	2.3047E-01	7.0515E-01	3.3771E-01	3.4853E-01	AUT	proton	pi-	0.0000E+00	2.0883E-02	7.0207E-02	8.5260E-03
3.2921E+00	2.4358E-01	6.5621E-01	3.7668E-01	2.3167E-01	AUT	proton	pi-	0.0000E+00	1.1880E-02	7.0207E-02	8.5530E-03
3.7616E+00	2.8839E-01	6.3244E-01	3.8067E-01	2.2183E-01	AUT	proton	pi-	0.0000E+00	1.8548E-02	7.0207E-02	8.4290E-03
3.4125E+00	2.5384E-01	6.5392E-01	3.7824E-01	5.6500E-01	AUT	proton	pi-	0.0000E+00	1.2217E-02	7.0207E-02	8.5250E-03
3.2653E+00	2.4776E-01	6.4017E-01	4.2383E-01	2.3547E-01	AUT	proton	pi-	0.0000E+00	1.1700E-02	7.0207E-02	8.6210E-03
3.6528E+00	2.9858E-01	5.9404E-01	4.2621E-01	2.2515E-01	AUT	proton	pi-	0.0000E+00	1.1889E-02	7.0207E-02	8.4960E-03
3.4248E+00	2.6747E-01	6.2489E-01	4.2562E-01	5.7663E-01	AUT	proton	pi-	0.0000E+00	1.0539E-02	7.0207E-02	8.5740E-03
