Q2	x	y	z	pT	obs	target	hadron	value	stat	systrel	systabs
1.494838	0.11645599999999999	0.626498	0.32569000000000004	0.672168	AUT	proton	pi+	0.0	0.006379999999999999	0.070207	0.008125
1.67937	0.17163599999999998	0.48051800000000006	0.326855	0.6704720000000001	AUT	proton	pi+	0.0	0.009854	0.070207	0.007802
1.418141	0.10659400000000001	0.673858	0.32923	0.850453	AUT	proton	pi+	0.0	0.016391	0.070207	0.008183
1.1711340000000001	0.092559	0.61738	0.37335	0.13458900000000001	AUT	proton	pi+	0.0	0.007872	0.070207	0.008255
1.335032	0.11802	0.548574	0.37393000000000004	0.128443	AUT	proton	pi+	0.0	0.009155	0.070207	0.008095
1.484881	0.138621	0.5192640000000001	0.37400900000000004	0.12738	AUT	proton	pi+	0.0	0.009622	0.070207	0.007967
1.601274	0.160255	0.484625	0.374239	0.126116	AUT	proton	pi+	0.0	0.009983	0.070207	0.007838
1.7012580000000002	0.192721	0.428962	0.374483	0.125424	AUT	proton	pi+	0.0	0.010043	0.070207	0.007662
1.8253400000000002	0.243567	0.364635	0.37613800000000003	0.12368900000000001	AUT	proton	pi+	0.0	0.014669999999999999	0.070207	0.00743
1.121402	0.076753	0.7109409999999999	0.37326	0.311638	AUT	proton	pi+	0.0	0.008747	0.070207	0.008357
1.237962	0.09290599999999999	0.645999	0.37380399999999997	0.303677	AUT	proton	pi+	0.0	0.009335	0.070207	0.008253
1.3369229999999999	0.10531099999999999	0.615223	0.373958	0.300661	AUT	proton	pi+	0.0	0.009981	0.070207	0.008175
1.432326	0.11718699999999999	0.592329	0.374023	0.298701	AUT	proton	pi+	0.0	0.009595000000000001	0.070207	0.008099
1.518448	0.129699	0.567404	0.37417399999999995	0.296344	AUT	proton	pi+	0.0	0.008847	0.070207	0.008020999999999999
1.5873620000000002	0.14366199999999998	0.535623	0.374233	0.293356	AUT	proton	pi+	0.0	0.007976	0.070207	0.007935
1.639402	0.16103399999999998	0.493691	0.374486	0.290224	AUT	proton	pi+	0.0	0.00725	0.070207	0.007831999999999999
1.6969919999999998	0.188547	0.437141	0.374889	0.28529699999999997	AUT	proton	pi+	0.0	0.006543000000000001	0.070207	0.007683
1.8004790000000002	0.23685	0.370197	0.376477	0.28371799999999997	AUT	proton	pi+	0.0	0.008983	0.070207	0.007458
1.1259350000000001	0.072263	0.757905	0.373415	0.49628199999999995	AUT	proton	pi+	0.0	0.0067150000000000005	0.070207	0.008387
1.268712	0.088767	0.692976	0.37399499999999997	0.492965	AUT	proton	pi+	0.0	0.006490999999999999	0.070207	0.008279
1.400655	0.10341900000000001	0.656504	0.374033	0.492224	AUT	proton	pi+	0.0	0.006177	0.070207	0.008186
1.5206600000000001	0.11916700000000001	0.6187630000000001	0.374194	0.490886	AUT	proton	pi+	0.0	0.005869	0.070207	0.008085
1.609377	0.139604	0.5595899999999999	0.374354	0.48871400000000004	AUT	proton	pi+	0.0	0.005777	0.070207	0.007958
1.6776779999999998	0.17969100000000002	0.45696400000000004	0.374596	0.489913	AUT	proton	pi+	0.0	0.00602	0.070207	0.007731
