  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
75,11.0,0.087639,0.682648,0.375347,1.218439,0.676812,AUT,0.0,0.007776,0.070207,0.009123,proton,pi-,solid
76,11.0,0.143139,0.532144,0.375733,1.540513,0.671138,AUT,0.0,0.008220,0.070207,0.008985,proton,pi-,solid
77,11.0,0.236740,0.365897,0.376084,1.783039,0.657968,AUT,0.0,0.105895,0.070207,0.008635,proton,pi-,solid
78,11.0,0.105883,0.672769,0.376283,1.411000,0.881193,AUT,0.0,0.014444,0.070207,0.009064,proton,pi-,solid
79,11.0,0.087140,0.682512,0.422610,1.216035,0.135130,AUT,0.0,0.010090,0.070207,0.009172,proton,pi-,solid
80,11.0,0.114894,0.584231,0.423219,1.382613,0.129557,AUT,0.0,0.009853,0.070207,0.009146,proton,pi-,solid
81,11.0,0.138680,0.508990,0.423559,1.453763,0.128450,AUT,0.0,0.008745,0.070207,0.009084,proton,pi-,solid
82,11.0,0.168110,0.426263,0.423768,1.473799,0.129394,AUT,0.0,0.006787,0.070207,0.008986,proton,pi-,solid
83,11.0,0.220016,0.354107,0.423832,1.598763,0.132763,AUT,0.0,0.005780,0.070207,0.008791,proton,pi-,solid
84,11.0,0.072581,0.757722,0.423217,1.128673,0.306884,AUT,0.0,0.007980,0.070207,0.009165,proton,pi-,solid
85,11.0,0.088524,0.669050,0.423374,1.221370,0.305660,AUT,0.0,0.007789,0.070207,0.009178,proton,pi-,solid
86,11.0,0.100558,0.625003,0.423513,1.296607,0.304723,AUT,0.0,0.007009,0.070207,0.009172,proton,pi-,solid
87,11.0,0.111925,0.586440,0.423593,1.354125,0.304072,AUT,0.0,0.006585,0.070207,0.009156,proton,pi-,solid
88,11.0,0.123434,0.545645,0.423685,1.389427,0.303399,AUT,0.0,0.006532,0.070207,0.009132,proton,pi-,solid
89,11.0,0.135485,0.505278,0.423721,1.412266,0.303101,AUT,0.0,0.006454,0.070207,0.009100,proton,pi-,solid
90,11.0,0.148826,0.467145,0.423735,1.434152,0.302295,AUT,0.0,0.006475,0.070207,0.009057,proton,pi-,solid
91,11.0,0.164141,0.429319,0.423860,1.453572,0.301260,AUT,0.0,0.006692,0.070207,0.009003,proton,pi-,solid
92,11.0,0.182221,0.392576,0.423858,1.475509,0.299366,AUT,0.0,0.007174,0.070207,0.008936,proton,pi-,solid
93,11.0,0.207777,0.365131,0.423861,1.564397,0.297689,AUT,0.0,0.007186,0.070207,0.008833,proton,pi-,solid
94,11.0,0.250775,0.335194,0.423718,1.731559,0.297013,AUT,0.0,0.008409,0.070207,0.008679,proton,pi-,solid
95,11.0,0.073489,0.751448,0.424266,1.131948,0.490060,AUT,0.0,0.007458,0.070207,0.009167,proton,pi-,solid
96,11.0,0.090474,0.653006,0.424382,1.218205,0.490048,AUT,0.0,0.006618,0.070207,0.009181,proton,pi-,solid
97,11.0,0.103571,0.605234,0.424457,1.292986,0.488853,AUT,0.0,0.006709,0.070207,0.009172,proton,pi-,solid
98,11.0,0.116832,0.562029,0.424511,1.354433,0.487261,AUT,0.0,0.006872,0.070207,0.009149,proton,pi-,solid
99,11.0,0.131807,0.522025,0.424547,1.419284,0.485724,AUT,0.0,0.006648,0.070207,0.009108,proton,pi-,solid
100,11.0,0.150535,0.478114,0.424603,1.483594,0.483594,AUT,0.0,0.006412,0.070207,0.009044,proton,pi-,solid
101,11.0,0.178132,0.422997,0.424733,1.551447,0.481078,AUT,0.0,0.005712,0.070207,0.008940,proton,pi-,solid
102,11.0,0.229013,0.358307,0.424751,1.683998,0.479258,AUT,0.0,0.005637,0.070207,0.008752,proton,pi-,solid
103,11.0,0.086176,0.683343,0.425308,1.199348,0.678343,AUT,0.0,0.007305,0.070207,0.009175,proton,pi-,solid
104,11.0,0.129475,0.553392,0.425497,1.467264,0.674700,AUT,0.0,0.005748,0.070207,0.009102,proton,pi-,solid
105,11.0,0.193159,0.423294,0.425592,1.669683,0.668877,AUT,0.0,0.012554,0.070207,0.008873,proton,pi-,solid
106,11.0,0.109274,0.648830,0.426264,1.403248,0.893231,AUT,0.0,0.013502,0.070207,0.009117,proton,pi-,solid
107,11.0,0.097893,0.636844,0.472749,1.271766,0.135141,AUT,0.0,0.010705,0.070207,0.009215,proton,pi-,solid
108,11.0,0.135489,0.516691,0.473514,1.438677,0.129667,AUT,0.0,0.009379,0.070207,0.009154,proton,pi-,solid
109,11.0,0.179129,0.404786,0.473827,1.486104,0.130541,AUT,0.0,0.006381,0.070207,0.009013,proton,pi-,solid
110,11.0,0.240100,0.339153,0.473970,1.676071,0.133264,AUT,0.0,0.009079,0.070207,0.008799,proton,pi-,solid
111,11.0,0.077544,0.727679,0.473197,1.155909,0.309569,AUT,0.0,0.008354,0.070207,0.009211,proton,pi-,solid
112,11.0,0.097546,0.634074,0.473460,1.275223,0.307090,AUT,0.0,0.008289,0.070207,0.009223,proton,pi-,solid
113,11.0,0.113047,0.581420,0.473644,1.355380,0.305760,AUT,0.0,0.007211,0.070207,0.009208,proton,pi-,solid
114,11.0,0.128417,0.528460,0.473703,1.399392,0.304792,AUT,0.0,0.006815,0.070207,0.009178,proton,pi-,solid
115,11.0,0.145028,0.477307,0.473762,1.427386,0.303512,AUT,0.0,0.006673,0.070207,0.009132,proton,pi-,solid
116,11.0,0.164764,0.427123,0.473789,1.450787,0.302069,AUT,0.0,0.006704,0.070207,0.009067,proton,pi-,solid
117,11.0,0.190615,0.380853,0.473812,1.496657,0.299549,AUT,0.0,0.007217,0.070207,0.008973,proton,pi-,solid
