i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
250,11.0,0.215435,0.419439,0.668728,1.863342,0.479990,AUT,0.0,0.033296,0.070207,0.001420,neutron,pi+,solid
251,11.0,0.158328,0.657823,0.322907,2.144578,0.150308,AUT,0.0,0.003253,0.070207,0.001240,neutron,pi+,solid
252,11.0,0.178467,0.604478,0.323234,2.226040,0.137305,AUT,0.0,0.003212,0.070207,0.001277,neutron,pi+,solid
253,11.0,0.190800,0.577728,0.323472,2.274986,0.132159,AUT,0.0,0.003333,0.070207,0.001300,neutron,pi+,solid
254,11.0,0.201017,0.558979,0.323601,2.319137,0.128360,AUT,0.0,0.003440,0.070207,0.001319,neutron,pi+,solid
255,11.0,0.210439,0.542997,0.323679,2.358489,0.125006,AUT,0.0,0.003536,0.070207,0.001337,neutron,pi+,solid
256,11.0,0.219506,0.529669,0.323700,2.399747,0.122047,AUT,0.0,0.003667,0.070207,0.001353,neutron,pi+,solid
257,11.0,0.228487,0.515837,0.323840,2.432677,0.119645,AUT,0.0,0.003768,0.070207,0.001370,neutron,pi+,solid
258,11.0,0.237564,0.500967,0.323834,2.456397,0.117700,AUT,0.0,0.003902,0.070207,0.001386,neutron,pi+,solid
259,11.0,0.247161,0.484300,0.323930,2.470542,0.115957,AUT,0.0,0.003936,0.070207,0.001403,neutron,pi+,solid
260,11.0,0.257930,0.467962,0.324367,2.491206,0.114923,AUT,0.0,0.003987,0.070207,0.001422,neutron,pi+,solid
261,11.0,0.270659,0.451480,0.324983,2.521997,0.114729,AUT,0.0,0.003975,0.070207,0.001445,neutron,pi+,solid
262,11.0,0.287231,0.434703,0.325560,2.576796,0.116154,AUT,0.0,0.003874,0.070207,0.001474,neutron,pi+,solid
263,11.0,0.314240,0.414142,0.326299,2.684535,0.121772,AUT,0.0,0.003859,0.070207,0.001521,neutron,pi+,solid
264,11.0,0.355046,0.385740,0.329940,2.824395,0.134603,AUT,0.0,0.009565,0.070207,0.001595,neutron,pi+,solid
265,11.0,0.140807,0.715614,0.323114,2.078132,0.308905,AUT,0.0,0.003045,0.070207,0.001208,neutron,pi+,solid
266,11.0,0.153014,0.677996,0.323596,2.141027,0.303796,AUT,0.0,0.003132,0.070207,0.001230,neutron,pi+,solid
267,11.0,0.161710,0.655307,0.323739,2.187140,0.298976,AUT,0.0,0.003312,0.070207,0.001246,neutron,pi+,solid
268,11.0,0.169430,0.636985,0.323942,2.227564,0.295296,AUT,0.0,0.003568,0.070207,0.001261,neutron,pi+,solid
269,11.0,0.176756,0.621378,0.324044,2.266972,0.292327,AUT,0.0,0.003839,0.070207,0.001275,neutron,pi+,solid
270,11.0,0.183948,0.607340,0.324104,2.305941,0.290678,AUT,0.0,0.004289,0.070207,0.001288,neutron,pi+,solid
271,11.0,0.191238,0.594178,0.324191,2.345362,0.289645,AUT,0.0,0.004742,0.070207,0.001302,neutron,pi+,solid
272,11.0,0.198675,0.581122,0.324241,2.383049,0.288821,AUT,0.0,0.005594,0.070207,0.001315,neutron,pi+,solid
273,11.0,0.206361,0.567834,0.324213,2.418613,0.288558,AUT,0.0,0.006360,0.070207,0.001330,neutron,pi+,solid
274,11.0,0.214456,0.554341,0.324194,2.453772,0.288558,AUT,0.0,0.007555,0.070207,0.001345,neutron,pi+,solid
275,11.0,0.223086,0.539459,0.324199,2.483898,0.288631,AUT,0.0,0.008761,0.070207,0.001360,neutron,pi+,solid
276,11.0,0.232689,0.520026,0.324196,2.497394,0.289098,AUT,0.0,0.010788,0.070207,0.001378,neutron,pi+,solid
277,11.0,0.243631,0.495893,0.324279,2.493331,0.289724,AUT,0.0,0.012514,0.070207,0.001397,neutron,pi+,solid
278,11.0,0.256437,0.471302,0.324540,2.494239,0.290431,AUT,0.0,0.011921,0.070207,0.001420,neutron,pi+,solid
