i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
74,11.0,0.241337,0.348967,0.524223,1.730530,0.296492,AUT,0.0,0.015771,0.070207,0.008911,proton,pi-,solid
75,11.0,0.087909,0.676298,0.523500,1.217052,0.495264,AUT,0.0,0.008530,0.070207,0.009080,proton,pi-,solid
76,11.0,0.130801,0.561231,0.524293,1.501675,0.489631,AUT,0.0,0.008681,0.070207,0.009123,proton,pi-,solid
77,11.0,0.198816,0.408042,0.524105,1.651362,0.484834,AUT,0.0,0.009936,0.070207,0.009017,proton,pi-,solid
78,11.0,0.103031,0.637664,0.524042,1.323221,0.687538,AUT,0.0,0.007831,0.070207,0.009098,proton,pi-,solid
79,11.0,0.177454,0.452304,0.523675,1.640079,0.685277,AUT,0.0,0.009996,0.070207,0.009061,proton,pi-,solid
80,11.0,0.111854,0.629980,0.524955,1.403241,0.915360,AUT,0.0,0.008739,0.070207,0.009092,proton,pi-,solid
81,11.0,0.138286,0.509803,0.573475,1.420472,0.130294,AUT,0.0,0.009258,0.070207,0.009184,proton,pi-,solid
82,11.0,0.217949,0.375276,0.573740,1.677281,0.131100,AUT,0.0,0.015054,0.070207,0.009077,proton,pi-,solid
83,11.0,0.102489,0.603357,0.573117,1.263125,0.307175,AUT,0.0,0.008849,0.070207,0.009158,proton,pi-,solid
84,11.0,0.150804,0.497205,0.573949,1.535194,0.296688,AUT,0.0,0.009485,0.070207,0.009193,proton,pi-,solid
85,11.0,0.218017,0.375754,0.573603,1.676639,0.294039,AUT,0.0,0.014105,0.070207,0.009077,proton,pi-,solid
86,11.0,0.098714,0.628986,0.573358,1.269149,0.494353,AUT,0.0,0.008902,0.070207,0.009147,proton,pi-,solid
87,11.0,0.162594,0.487472,0.574049,1.594621,0.486999,AUT,0.0,0.009853,0.070207,0.009169,proton,pi-,solid
88,11.0,0.102917,0.623732,0.573613,1.304309,0.747765,AUT,0.0,0.008035,0.070207,0.009152,proton,pi-,solid
89,11.0,0.166021,0.486872,0.573696,1.653348,0.732084,AUT,0.0,0.010395,0.070207,0.009169,proton,pi-,solid
90,11.0,0.109157,0.566621,0.622987,1.265785,0.260482,AUT,0.0,0.009664,0.070207,0.009242,proton,pi-,solid
91,11.0,0.153953,0.482495,0.623719,1.525334,0.232896,AUT,0.0,0.009341,0.070207,0.009299,proton,pi-,solid
92,11.0,0.209385,0.391669,0.622969,1.682161,0.228607,AUT,0.0,0.012416,0.070207,0.009227,proton,pi-,solid
93,11.0,0.114949,0.575473,0.623235,1.347046,0.493389,AUT,0.0,0.009541,0.070207,0.009247,proton,pi-,solid
94,11.0,0.184201,0.445304,0.623391,1.677362,0.484478,AUT,0.0,0.019275,0.070207,0.009264,proton,pi-,solid
95,11.0,0.117934,0.580842,0.623045,1.385579,0.773869,AUT,0.0,0.008052,0.070207,0.009241,proton,pi-,solid
96,11.0,0.212039,0.429121,0.620757,1.876521,0.660430,AUT,0.0,0.067166,0.070207,0.009206,proton,pi-,solid
97,11.0,0.124450,0.522315,0.672918,1.329060,0.250606,AUT,0.0,0.009858,0.070207,0.009373,proton,pi-,solid
98,11.0,0.184083,0.437736,0.672848,1.650412,0.227219,AUT,0.0,0.012330,0.070207,0.009418,proton,pi-,solid
99,11.0,0.120591,0.550367,0.672800,1.357012,0.558818,AUT,0.0,0.010022,0.070207,0.009355,proton,pi-,solid
100,11.0,0.183749,0.464378,0.672240,1.753480,0.523507,AUT,0.0,0.029098,0.070207,0.009416,proton,pi-,solid
101,11.0,0.165901,0.652093,0.323617,2.216939,0.125707,AUT,0.0,0.008756,0.070207,0.008760,proton,pi-,solid
102,11.0,0.206431,0.567353,0.324439,2.414112,0.123639,AUT,0.0,0.009047,0.070207,0.008622,proton,pi-,solid
103,11.0,0.252263,0.507768,0.327213,2.634562,0.126518,AUT,0.0,0.010616,0.070207,0.008475,proton,pi-,solid
104,11.0,0.153957,0.705120,0.323875,2.220588,0.296223,AUT,0.0,0.009812,0.070207,0.008793,proton,pi-,solid
105,11.0,0.192844,0.599380,0.324302,2.382592,0.291941,AUT,0.0,0.007518,0.070207,0.008668,proton,pi-,solid
106,11.0,0.231730,0.535083,0.326245,2.551319,0.289041,AUT,0.0,0.006802,0.070207,0.008537,proton,pi-,solid
107,11.0,0.287373,0.472192,0.331336,2.797221,0.287928,AUT,0.0,0.016312,0.070207,0.008381,proton,pi-,solid
108,11.0,0.164834,0.675332,0.324061,2.265880,0.487698,AUT,0.0,0.007851,0.070207,0.008758,proton,pi-,solid
109,11.0,0.229558,0.539224,0.325914,2.535865,0.489731,AUT,0.0,0.005855,0.070207,0.008547,proton,pi-,solid
110,11.0,0.193612,0.619062,0.326744,2.399188,0.690887,AUT,0.0,0.008119,0.070207,0.008664,proton,pi-,solid
111,11.0,0.175657,0.625879,0.373498,2.250933,0.126423,AUT,0.0,0.008940,0.070207,0.008801,proton,pi-,solid
112,11.0,0.229078,0.520786,0.374101,2.451690,0.126098,AUT,0.0,0.008988,0.070207,0.008632,proton,pi-,solid
113,11.0,0.291550,0.445082,0.375939,2.670524,0.130732,AUT,0.0,0.015292,0.070207,0.008461,proton,pi-,solid
114,11.0,0.160831,0.678800,0.373979,2.232462,0.295977,AUT,0.0,0.009610,0.070207,0.008843,proton,pi-,solid
115,11.0,0.204939,0.573894,0.374209,2.422608,0.290945,AUT,0.0,0.008125,0.070207,0.008706,proton,pi-,solid
116,11.0,0.256605,0.477242,0.375281,2.516094,0.289115,AUT,0.0,0.007473,0.070207,0.008554,proton,pi-,solid
117,11.0,0.327074,0.415469,0.379228,2.800974,0.293609,AUT,0.0,0.020016,0.070207,0.008387,proton,pi-,solid
118,11.0,0.171887,0.658601,0.374040,2.298972,0.489337,AUT,0.0,0.008592,0.070207,0.008806,proton,pi-,solid
119,11.0,0.251711,0.490803,0.375047,2.520429,0.491440,AUT,0.0,0.006097,0.070207,0.008570,proton,pi-,solid
120,11.0,0.205189,0.589740,0.375531,2.398584,0.707666,AUT,0.0,0.007288,0.070207,0.008707,proton,pi-,solid
121,11.0,0.187500,0.598731,0.423502,2.294473,0.127576,AUT,0.0,0.009202,0.070207,0.008835,proton,pi-,solid
122,11.0,0.263609,0.466771,0.424048,2.511542,0.129624,AUT,0.0,0.009559,0.070207,0.008622,proton,pi-,solid
123,11.0,0.168985,0.652951,0.423947,2.255053,0.297169,AUT,0.0,0.009297,0.070207,0.008886,proton,pi-,solid
